,Lugar,Grabadora,Transformación,Permanencia,Longitud,ACIft,ADI,ACItf,BI,TE,ESM,NDSI,P,M,NP,MID,BNF,BNT,MD,FM,SF,RMS,CF,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11
20170123,Bolívar,302143,Alta,Alta,75º9'42.71'' W,0.8819621988,1.3795853798,0.6864085362,0.3735687671,0.7806671102,-0.9956635337,0.1022767537,-0.4424519473,0.1388995117,-0.1648214768,0.1049487691,-0.5144827255,-0.9981464303,-0.1921541126,-0.8291376318,0.1398793487,0.071232558,-0.5469691158,0.0878172493,-0.7278435878,-0.5828621809,-0.3087981427,-0.9261498527,-0.3310574502,-0.0848338617,-0.8633954051,-1.8280424847,-2.1175183894,-2.4077471065
20170124,Bolívar,302143,Alta,Alta,75º9'42.71'' W,1.0224234454,1.6136099149,1.3787542659,0.6897905007,0.7409709252,-0.8586661683,0.2724419033,-0.2747697936,0.1399898448,-0.1452457227,-0.1301082446,-0.5082000034,-0.9981464303,0.012233666,-1.3406668819,0.1474652831,0.0773019875,-0.5475296461,-0.0409846232,-0.6784767642,-0.679741467,0.2430782097,-0.7365137683,-0.2770285867,-0.3685610519,-0.9610681377,-1.9670729226,-2.2267368176,-2.7403424322
20170125,Bolívar,302143,Alta,Alta,75º9'42.71'' W,1.111161041,1.2823331774,1.5018128722,0.6358792086,0.7505869214,-1.3599032384,0.4671301231,0.0446681818,0.1420891742,-0.0470316814,-0.3045168153,-0.5157658053,-0.9981464303,-0.0511541954,-1.8035185169,0.1872226867,0.0774183584,-0.5490026835,0.1754223081,-0.4293569612,-0.5961371433,0.2826005448,-0.4168199432,-0.1227276895,-0.193826556,-0.8098349613,-2.2470248342,-2.7293781964,-2.9482486723
20170126,Bolívar,302143,Alta,Alta,75º9'42.71'' W,1.6680495651,1.3710151186,1.6270492115,1.0265697634,0.6001441186,-1.6925296816,0.6093232995,0.3751873915,0.159900513,0.2086583623,-0.5313281627,-0.4965649894,-0.9981464303,-0.1746230942,-2.0551388241,-0.2142447051,0.1238914836,-0.5313586681,-0.2534574313,-0.9820341007,-1.0632905119,0.1537031718,-0.9029665887,-0.6637935215,-0.9482172041,-1.5867448471,-2.6459947085,-2.9266671393,-3.7175059859
20170127,Bolívar,302143,Alta,Alta,75º9'42.71'' W,1.3575980559,1.4735651766,1.2911463576,0.7627328941,0.7030731422,-1.2557207813,0.2662555402,0.1702340594,0.1454324138,0.1520647336,-0.6307705678,-0.4888578243,-0.9981464303,-0.1002900804,-1.5874638801,-0.16479327,0.0831734831,-0.5420395628,0.2255089628,-0.8570305844,-0.9137197912,0.131136623,-0.7255018685,-0.5142482349,-0.3496731858,-1.0126627097,-2.1407029525,-2.6232203892,-3.3018402454
20170202,Bolívar,302143,Alta,Alta,75º9'42.71'' W,0.9057973508,0.8616370646,1.7871847218,0.4476466396,0.6956673191,-0.8012469299,0.2089156685,0.3598585793,0.147578526,-0.1600745167,-0.6275503754,-0.4655197772,-0.9981464303,0.0023671155,-2.4043929392,0.0061576817,0.0820568681,-0.5324563119,-0.580912604,-1.6655005482,-1.1329202068,-0.0251917462,-0.4265882056,-0.3045474497,-0.2360084862,-0.636993717,-1.8845496877,-2.2525560607,-2.7696773504
20170203,Bolívar,302143,Alta,Alta,75º9'42.71'' W,1.2024902652,1.0471192409,1.5830015052,0.5838660889,0.6782481877,-1.4631204486,0.3244107179,0.4857096571,0.1514953112,0.0563486154,-0.4909163068,-0.4518223114,-0.9981464303,0.0019349871,-2.2230094005,-0.1441943404,0.0859879653,-0.5357695763,-0.6169986227,-1.2728753559,-1.0981529422,0.2526464054,-0.1676418811,-0.0627519009,-0.1010288673,-0.9081892623,-2.2616852759,-2.8856014653,-3.1934738777
20170204,Bolívar,302143,Alta,Alta,75º9'42.71'' W,0.6643334185,1.1558444289,0.4740202818,0.6619379808,0.665447705,-1.8910361621,0.6428207542,0.1808413275,0.1440629755,0.0613435773,-0.7549646721,-0.4965520766,-0.9981464303,-0.0985521053,-2.1145467483,-0.3318390543,0.0912868096,-0.5333375046,-0.4709763303,-1.3173844464,-1.298226515,-0.0827358698,-0.1924062992,-0.3514064279,-0.6297029474,-1.561908259,-2.6826824036,-2.9087258455,-3.1717336277
20170205,Bolívar,302143,Alta,Alta,75º9'42.71'' W,0.9928748727,1.4304250799,0.5393845608,0.9828571375,0.5492461117,-2.2732317872,0.8891519531,0.074896767,0.1589237877,0.2241832492,-0.7597641253,-0.4748102461,-0.9981464303,-0.3396040706,-2.1349264835,-0.5904913684,0.1409797973,-0.5307786446,-0.6198813127,-1.4897284032,-1.1245462871,0.1525523715,-0.0330787028,-0.2013728315,-0.6058585465,-1.1988011931,-2.7834760898,-3.4290453951,-3.6732587106
20170206,Bolívar,302143,Alta,Alta,75º9'42.71'' W,1.4097822753,0.8543883188,1.3727212995,0.4794920585,0.6325542575,-2.0462870242,0.6087451576,0.2740877498,0.150196918,0.0530152182,-0.7388349765,-0.4703442061,-0.9981464303,-0.4468735256,-2.1362904146,-0.5398219828,0.0977557291,-0.5048035587,-0.6706485355,-1.5932527827,-1.8290669194,-0.0824845529,-0.2132391985,-0.0036685794,-0.1944285423,-0.9290002366,-2.7152638128,-3.4597913333,-3.4149351577
20170212,Bolívar,302143,Alta,Alta,75º9'42.71'' W,0.4071994326,0.6027531795,0.6536922779,-0.1446356375,0.7688322943,0.3438637847,-0.1149145991,0.0667640527,0.1359243074,-0.4867255285,-0.6555514204,-0.5072055532,-0.9981464303,0.3592511353,-1.2765132502,0.7089021714,0.068718052,-0.5541023564,-0.3973920809,-1.0319611509,-0.1538970809,0.1419239442,-0.09817292,0.0272534988,0.3007978223,0.3738048259,-0.9805031191,-0.9644059556,-0.7646438001
20170215,Bolívar,302143,Alta,Alta,75º9'42.71'' W,0.4829339367,0.0890257194,0.4052446544,1.7764825157,0.5827325399,0.6008740058,0.4477333344,-0.1901495506,0.1892932509,0.7696112328,0.3882426054,-0.3790691977,-0.9981464303,0.1961313377,-0.8085089098,-0.3205662317,0.1225049667,-0.5254109485,0.3178744155,-0.0466524372,0.1129508325,0.6188857016,-0.2450739712,-0.3257946125,0.1590569189,0.6704544551,-0.4427171846,-0.6400135859,-0.8468742916
20160225,Bolívar,5069,Alta,Media,"75º08'22.3""W",-3.6327499339,-1.3168429579,-2.7523177892,-0.540248143,0.7640215608,-0.4868850467,-0.1032138085,-0.3479454634,0.5533775334,-0.2033639591,-0.7240064373,-0.5158039567,-0.9981464303,-1.2072766967,1.616881278,-0.1110856857,0.4530453816,-0.5365767805,-0.0172402306,-0.3890270784,0.2422164119,-0.2226092885,0.3448387608,0.7974024391,0.1903658296,-0.01238466,-0.3062733766,-0.2015093797,0.0492606577
20160226,Bolívar,5069,Alta,Media,"75º08'22.3""W",-2.4968845328,-0.9231607047,-2.2589081302,-0.6618435099,0.7657798494,-0.1262938621,0.2375860069,-0.5478372245,0.5355511358,-0.3338415499,-0.8118989885,-0.5589371083,-0.9981464303,-1.0560848992,1.7268734248,0.2182287329,0.4521394017,-0.5371352463,0.2597712496,-0.209464127,0.5536059379,-0.0534468252,0.4666928596,1.0007483951,0.3856963591,0.2562913932,0.3335898212,0.2094304297,0.2935989993
20160305,Bolívar,5071,Alta,Alta,"75º09'42.7""W",-0.5937315941,0.6680408668,-0.4720935116,0.345499406,0.8907336501,0.8877453798,-0.4808981715,-0.5700530871,0.166345388,-0.5922172024,1.162628323,-0.6440063724,-0.9981464303,0.1772471711,0.2231502633,0.0794991667,0.0921531023,-0.5811878738,1.1235509767,0.7222922676,0.2264486287,0.4402206669,-0.3699857313,-0.9319166593,-0.1098399337,-0.1600545009,-0.3079647107,0.3205173707,0.2390729093
