ACIft,ADI,ACItf,BI,TE,ESM,NDSI,P,M,NP,MID,BNF,MD,FM,SF,RMS,CF,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11,target
0.967778766,0.721609425,0.826369294,0.788969764,0.669386263,0.204866088,-0.093364501,-0.040793729,0.16546092,-0.13794819,0.417027817,-0.438802525,0.251957359,-1.1144119,0.074232843,0.098527791,-0.555150944,-0.387068551,-1.193796124,-0.973299646,0.158243594,-0.246942094,-0.069376366,0.302392297,0.218392693,-1.0860507,-1.240671693,-1.706251922,1
0.344089767,0.724196123,1.083847728,0.397346039,0.725760608,-0.710576377,-0.362874652,0.137746825,0.147016056,-0.445537655,0.197883835,-0.471154975,-0.259244018,-1.40075236,0.320271696,0.078267607,-0.534044057,-0.099193434,-0.993284958,-0.36166605,0.204833342,-0.837582409,-0.641987684,-0.254815942,-0.379259574,-1.062085395,-1.581943415,-1.785023628,1
-0.454468997,0.499916746,-0.004477689,-0.224323821,0.756357436,-0.524986873,-0.453334551,-0.404263809,0.138736066,-0.402205601,0.006407768,-0.493532137,-0.240464219,-1.05943686,0.527096122,0.070684164,-0.542049075,-0.204276498,-1.114777687,-0.406118652,-0.116919603,-0.77556961,-0.753092723,-0.081520195,-0.047442151,-0.668618184,-1.066334195,-1.382999643,1
0.098644764,1.036602404,-0.109499171,0.782766944,0.892128595,0.7632352,0.432293614,-0.70177653,0.152574184,-0.649054439,0.72333072,-0.651719456,-0.109809359,-0.080995753,-0.147040545,0.080138772,-0.579333823,1.080125462,0.455753224,-0.494340361,0.115745779,-1.64103004,-1.689385246,-0.945562286,-0.857492658,-1.499750307,-0.505977107,-0.66795561,1
0.382637194,-0.272463331,0.588883268,1.308050598,0.003683237,-0.021581387,0.644711349,1.869661539,-1.116420485,0.031686981,-0.410909757,-0.490992866,0.752279645,-1.103056032,-0.463951852,-1.052360446,-0.325525126,-1.102244233,-2.994605003,-2.034215286,-1.796524334,-1.041387772,-0.212968827,0.294011831,0.103498634,-0.091375934,-0.624227593,-0.321369264,1
-0.525287864,0.094579549,-0.708873695,1.180685507,0.855759724,0.660418445,0.28962162,0.215671198,0.165123739,-0.462635271,0.787890272,-0.609651607,0.214413676,0.482408011,-0.378946756,0.090997332,-0.57729968,1.033777922,0.62781765,0.708867973,0.963987229,-0.570432089,-0.688682387,-0.226930379,0.2216372,-0.154145444,0.244069248,0.37543717,1
-0.193306472,-1.352237168,-0.877832338,-0.357472802,-0.223339532,0.300228014,-0.239023228,-0.268397521,-1.196787822,-0.587692119,-0.641186585,-0.501555847,-0.832161454,1.103316462,-0.148393286,-1.042198087,-0.380483292,-0.478328843,-0.29351785,0.077898713,0.589451356,-0.249145236,-0.273429519,-0.084926801,-0.34367782,0.118776451,0.012452516,0.271643513,1
-0.375900118,0.114782357,-0.52612095,-0.264151171,0.237835934,0.401779091,-0.044387265,-0.368879454,-1.230742598,-0.751449676,-0.323927245,-0.519362208,-0.797017318,0.526519133,0.392188522,-1.162809267,-0.448039329,-0.481548895,-0.48584958,-0.43719234,0.114115978,-0.77417708,-1.367703306,-0.777009082,-0.805050077,-0.044871051,0.152162831,0.264317159,1
-0.308155811,0.068511163,-0.669859335,0.332229764,0.052233706,0.220779768,-0.150449639,0.47569475,-1.218439747,-0.6011698,-0.367671781,-0.511817231,-0.807985783,0.723165681,0.092338262,-1.113243525,-0.324733781,-0.46169408,-0.506681916,-0.141881335,0.22744881,-0.997138382,-1.313530996,-0.829717461,-0.556270676,-0.016803582,-0.136466835,0.219988164,1
-0.079015429,0.024963173,-0.047640662,1.319693668,-0.536231839,0.042763933,1.195380502,0.401024986,-1.14275891,-0.036282505,-0.300652947,-0.452777565,-1.332057775,-0.328042435,-0.922857433,-0.995018676,0.017243648,-0.837956539,-1.356096241,-1.482855771,-0.116152378,-1.960741118,-2.808609729,-1.937638123,-2.478579661,-1.538677731,-0.954723074,-0.998195754,1
0.089918604,-0.85128634,-0.704840755,-0.038248446,0.896775806,0.476990983,-0.387484148,-0.733278351,0.16076415,-0.12105363,1.367249348,-0.62090683,-0.075421489,0.717217423,0.319514905,0.086504122,-0.583230243,1.287529653,1.458507674,1.708264452,1.737302749,1.454654867,1.685926169,1.198936477,1.009485194,0.622866054,0.391809069,0.180105296,2
3.293101478,-0.396339694,1.362096881,1.167926007,-0.019594634,0.005123481,0.881127167,0.988176757,-0.993167921,-0.30216702,-0.432918031,-0.460408266,-1.041610523,-0.99689057,-0.520067522,-0.922971466,-0.4827503,-1.10187603,-0.932714037,-0.973339356,-1.205753535,-0.915257724,-0.66979759,-1.050948601,-1.003364957,-0.567307032,-0.50628744,-0.377202144,2
1.575493403,-0.90248469,0.612955436,1.712668052,-0.308734927,-0.34266096,0.873582497,3.53076,-0.96684552,-0.079374424,-0.738543948,-0.456530484,-1.396895257,-0.676879342,-0.833460528,-0.865035972,-0.43813172,-1.121615431,-1.222799638,-1.61779278,-1.413328853,-1.485734227,-1.599473251,-1.243944798,-1.126462166,-1.652334645,-1.414603224,-1.03612878,2
-0.471324894,0.050871643,-0.14764832,0.477186277,0.156596964,-0.541569363,0.018197527,2.358016244,-1.015591623,-0.516095422,0.297585279,-0.473168149,-1.227400442,-0.01111019,-0.139227876,-0.937696286,-0.459814932,-0.608602128,-1.158174718,-0.804888779,-1.24772037,-1.271167965,-0.246935819,-0.041770972,-0.280753298,-0.46378129,-0.296611509,-0.032517665,2
-0.489095146,0.390098943,0.071155148,0.556450545,0.27762011,-0.425938782,0.493282496,1.873928145,-1.027168868,-0.420734071,0.296885099,-0.478543694,-1.208949718,-0.69176629,-0.063439791,-0.981943402,-0.454385779,-0.391420759,-1.071957494,-1.015058936,-1.251488744,-1.889056123,-0.649593132,-0.321722455,-0.310259495,-0.362302266,-0.24811692,0.142904433,2
-0.5625308,-2.265024387,-1.177355488,-1.135644084,0.906165784,1.213133285,-0.288280321,-0.75600807,0.158664541,0.042338923,2.233838449,-0.633314583,0.196496137,1.104877876,1.393394355,0.084514785,-0.582842028,1.255127339,1.338850758,1.651653511,1.838477983,1.76996833,1.724213095,1.669531759,1.780583401,1.244663889,0.864844856,0.839562017,3
-0.254595053,-0.196254409,-0.068931857,1.107132021,-0.03611469,0.405887022,1.179900784,0.702744588,-0.916669542,1.502519291,1.025575469,-0.229660276,-1.453058504,-0.572719732,-0.496760694,-0.898339942,-0.459949113,-0.124501255,0.389349156,1.017939856,1.065573911,1.109928244,0.875583775,0.875780095,1.330532029,1.080667858,0.87872014,0.4082125,3
-0.331282998,0.048296796,-0.838413638,-0.029882095,0.895678779,1.251362968,-0.985584789,-0.646580003,0.154079561,-0.701520272,1.434561541,-0.646146299,0.322012225,0.80685815,0.007882495,0.080592808,-0.580189169,0.950204087,0.533374643,0.669714496,1.32170149,0.394812815,0.060439413,0.590968691,0.584491591,0.729204652,0.710637122,0.752660914,3
